"sess","tre","r","activo","i","ordenes_compra","ordenes_venta","bb","bo","precio","dete","dete_a","z","dt"
"5c09zarp",2,2,1,17,0,2,NA,100,NA,0,4,-2,0
"5c09zarp",2,2,1,18,0,2,NA,100,NA,0,4,-2,0
"5c09zarp",2,2,1,19,0,2,NA,100,NA,0,4,-2,0
"5c09zarp",2,2,1,20,0,3,NA,100,NA,0,4,-3,0
"5c09zarp",2,2,1,21,0,2,NA,100,100,1,5,-2,0
"5c09zarp",2,2,1,22,0.881941811798912,1.76388362359782,75,100,NA,0,5,-0.881941811798908,0
"5c09zarp",2,2,1,23,0.881941811798912,1.76388362359782,75,100,NA,0,5,-0.881941811798908,0
"5c09zarp",2,2,1,24,0.904382075008804,2.62449878429138,75,95,NA,0,5,-1.72011670928258,0
"5c09zarp",2,2,1,25,0,2.9019800998,NA,95,75,-1,4,-2.9019800998,0
"5c09zarp",2,2,1,26,0,2.9019800998,NA,95,NA,0,4,-2.9019800998,0
"5c09zarp",2,2,1,27,0,2.9019800998,NA,95,NA,0,4,-2.9019800998,0
"5c09zarp",2,2,1,28,0,2.9019800998,NA,95,NA,0,4,-2.9019800998,0
"5c09zarp",2,2,1,29,0,1.9509900499,NA,95,NA,0,4,-1.9509900499,0
"5c09zarp",2,2,1,30,0,1,NA,100,NA,0,4,-1,0
"5c09zarp",2,2,1,31,0,1.9043820750088,NA,90,NA,0,4,-1.9043820750088,0
"5c09zarp",2,2,1,32,0,1.9043820750088,NA,90,NA,0,4,-1.9043820750088,0
"5c09zarp",2,2,1,33,0,2.63787971404044,NA,75,NA,0,4,-2.63787971404044,0
"5c09zarp",2,2,1,34,0,1.86005835464129,NA,75,NA,0,4,-1.86005835464129,0
"5c09zarp",2,2,1,35,0,1.86005835464129,NA,75,NA,0,4,-1.86005835464129,0
"5c09zarp",2,2,1,36,0,1.86005835464129,NA,75,NA,0,4,-1.86005835464129,0
"5c09zarp",2,2,1,37,0,1,NA,75,NA,0,4,-1,0
"5c09zarp",2,2,1,38,0,1.9509900499,NA,70,NA,0,4,-1.9509900499,0
"5c09zarp",2,2,1,39,0,1,NA,70,NA,0,4,-1,0
"5c09zarp",2,2,1,40,0.817906937597231,0.817906937597231,30,70,65,0,4,0,0
"5c09zarp",2,2,1,41,0.817906937597231,0.817906937597231,30,70,NA,0,4,0,0
"5c09zarp",2,2,1,42,0.817906937597231,0.817906937597231,30,70,NA,0,4,0,0
"5c09zarp",2,2,1,43,0,1,NA,70,30,-1,3,-1,0
"5c09zarp",2,2,1,44,0,1,NA,70,NA,0,3,-1,0
"5c09zarp",2,2,1,45,0,1.9509900499,NA,70,NA,0,3,-1.9509900499,0
"5c09zarp",2,2,1,46,0,1.9509900499,NA,70,NA,0,3,-1.9509900499,0
"5c09zarp",2,2,1,47,0,1.9509900499,NA,70,NA,0,3,-1.9509900499,0
"5c09zarp",2,2,1,48,0,1.9509900499,NA,70,NA,0,3,-1.9509900499,0
"5c09zarp",2,2,1,49,0,1.9509900499,NA,70,NA,0,3,-1.9509900499,0
"5c09zarp",2,2,1,50,0,1.9509900499,NA,70,NA,0,3,-1.9509900499,0
"5c09zarp",2,2,1,51,0,1.9509900499,NA,70,NA,0,3,-1.9509900499,0
"5c09zarp",2,2,1,52,0,1.9509900499,NA,70,NA,0,3,-1.9509900499,0
"5c09zarp",2,2,1,53,0,2.55599611703754,NA,70,NA,0,3,-2.55599611703754,0
"5c09zarp",2,2,1,54,0,1.60500606713754,NA,70,NA,0,3,-1.60500606713754,0
"5c09zarp",2,2,1,55,0,1.60500606713754,NA,70,NA,0,3,-1.60500606713754,0
"5c09zarp",2,2,1,56,0,1.60500606713754,NA,70,NA,0,3,-1.60500606713754,0
"5c09zarp",2,2,1,57,0,1.60500606713754,NA,70,NA,0,3,-1.60500606713754,0
"5c09zarp",2,2,1,58,0,1.60500606713754,NA,70,NA,0,3,-1.60500606713754,0
"5c09zarp",2,2,1,59,0,1.60500606713754,NA,70,NA,0,3,-1.60500606713754,0
"5c09zarp",2,2,1,60,0,1.60500606713754,NA,70,NA,0,3,-1.60500606713754,0
"5c09zarp",2,2,1,61,0,1.60500606713754,NA,70,NA,0,3,-1.60500606713754,0
"5c09zarp",2,2,1,62,0,1,NA,120,70,1,4,-1,0
"5c09zarp",2,2,1,63,0,1,NA,120,NA,0,4,-1,0
"5c09zarp",2,2,1,64,0,1,NA,120,NA,0,4,-1,0
"5c09zarp",2,2,1,65,0,1.9509900499,NA,120,NA,0,4,-1.9509900499,0
"5c09zarp",2,2,1,66,0,2.9509900499,NA,120,NA,0,4,-2.9509900499,0
