participant.id_in_session;participant.code;participant.label;participant._is_bot;participant._index_in_pages;participant._max_page_index;participant._current_app_name;participant._current_page_name;participant.time_started;participant.visited;participant.mturk_worker_id;participant.mturk_assignment_id;participant.payoff;player.id_in_group;player.role;player.settled_assets;player.available_assets;player.settled_cash;player.available_cash;player.payoff;group.id_in_subsession;group.ran_ready_function;group.realized_state;subsession.round_number;session.code;session.label;session.mturk_HITId;session.mturk_HITGroupId;session.comment;session.is_demo
7;534u2i7l;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:11.504744+00:00;1;;;276;7;;{'A': 2, 'B': 2, 'C': 1, 'D': 0};{'A': 2, 'B': 2, 'C': 1, 'D': 0};225;225;525;1;2021-12-11 00:17:13.270863+00:00;Z;4;8p70emi4;;;;;0
8;kvnnjmsq;;0;30;297;otree_etf_cda;Results;2021-12-11 00:00:14.239676+00:00;1;;;577;8;;{'A': 0, 'B': 2, 'C': 2, 'D': 0};{'A': 0, 'B': 1, 'C': 2, 'D': 0};405;315;555;1;2021-12-11 00:17:13.270863+00:00;Z;4;8p70emi4;;;;;0
9;nuk7bi5k;;0;30;297;otree_etf_cda;Results;2021-12-11 00:00:36.757990+00:00;1;;;-11;9;;{'A': 5, 'B': 1, 'C': 1, 'D': 0};{'A': 1, 'B': 1, 'C': 1, 'D': 0};35;0;605;1;2021-12-11 00:17:13.270863+00:00;Z;4;8p70emi4;;;;;0
10;mte7tsen;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:25.214093+00:00;1;;;605;10;;{'A': 1, 'B': 5, 'C': 4, 'D': 0};{'A': 1, 'B': 5, 'C': 3, 'D': 0};15;15;735;1;2021-12-11 00:17:13.270863+00:00;Z;4;8p70emi4;;;;;0
1;c1na2cjj;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:16.264254+00:00;1;;;62;1;;{'A': 4, 'B': 1, 'C': 1, 'D': 0};{'A': 4, 'B': 1, 'C': 1, 'D': 0};150;0;420;1;2021-12-11 00:23:12.747500+00:00;Y;5;8p70emi4;;;;;0
2;n8vldi8a;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:49.461907+00:00;1;;;525;2;;{'A': 0, 'B': 4, 'C': 1, 'D': 1};{'A': 0, 'B': 3, 'C': 0, 'D': 0};190;4;100;1;2021-12-11 00:23:12.747500+00:00;Y;5;8p70emi4;;;;;0
3;19nuw3v9;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:36.259424+00:00;1;;;325;3;;{'A': 2, 'B': 1, 'C': 2, 'D': 0};{'A': 2, 'B': 1, 'C': 2, 'D': 0};235;235;265;1;2021-12-11 00:23:12.747500+00:00;Y;5;8p70emi4;;;;;0
4;3jmhiir6;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:07.642324+00:00;1;;;360;4;;{'A': 0, 'B': 1, 'C': 3, 'D': 0};{'A': 0, 'B': 1, 'C': 1, 'D': 0};417;342;207;1;2021-12-11 00:23:12.747500+00:00;Y;5;8p70emi4;;;;;0
5;tksh26lw;;0;298;297;otree_etf_cda;Results;2021-12-11 00:00:47.287799+00:00;1;;;466;5;;{'A': 1, 'B': 2, 'C': 1, 'D': 0};{'A': 0, 'B': 2, 'C': 1, 'D': 0};322;122;232;1;2021-12-11 00:23:12.747500+00:00;Y;5;8p70emi4;;;;;0
6;7y7ny8q2;;0;298;297;otree_etf_cda;Results;2021-12-10 23:59:52.453949+00:00;1;;;495;6;;{'A': 2, 'B': 3, 'C': 3, 'D': 0};{'A': 2, 'B': 3, 'C': 3, 'D': 0};90;0;120;1;2021-12-11 00:23:12.747500+00:00;Y;5;8p70emi4;;;;;0
